JAHR	Wohnviertel_Id	Wohnviertel_Name	Altersgruppe	Schweizerinnen	Schweizer	Ausländerinnen	Ausländer
2018	3	Am Ring	75-79	234	148	30	26
2018	3	Am Ring	80-84	207	113	21	20
2018	3	Am Ring	85-89	176	83	12	4
2018	3	Am Ring	90-94	125	41	6	0
2018	3	Am Ring	95-99	52	8	2	0
2018	3	Am Ring	100+	10	0	0	1
2018	4	Breite	0-4	111	114	86	83
2018	4	Breite	5-9	95	103	67	59
2018	4	Breite	10-14	79	90	39	50
2018	4	Breite	15-19	86	105	43	57
2018	4	Breite	20-24	196	175	75	68
2018	4	Breite	25-29	256	221	160	127
2018	4	Breite	30-34	215	232	225	211
2018	4	Breite	35-39	168	167	217	191
2018	4	Breite	40-44	158	147	141	155
2018	4	Breite	45-49	175	166	113	138
2018	4	Breite	50-54	232	176	84	105
2018	4	Breite	55-59	224	206	78	93
2018	4	Breite	60-64	201	178	48	69
2018	4	Breite	65-69	201	128	44	52
2018	4	Breite	70-74	212	137	26	30
2018	4	Breite	75-79	199	128	30	27
2018	4	Breite	80-84	186	113	13	18
2018	4	Breite	85-89	176	54	9	4
2018	4	Breite	90-94	80	30	4	0
2018	4	Breite	95-99	20	6	0	0
2018	4	Breite	100+	4	1	0	0
2018	5	St. Alban	0-4	140	159	129	139
2018	5	St. Alban	5-9	136	147	129	137
2018	5	St. Alban	10-14	158	131	98	89
2018	5	St. Alban	15-19	113	152	62	73
2018	5	St. Alban	20-24	186	164	71	72
2018	5	St. Alban	25-29	227	211	140	115
2018	5	St. Alban	30-34	227	187	246	195
2018	5	St. Alban	35-39	215	213	296	240
2018	5	St. Alban	40-44	177	182	256	245
2018	5	St. Alban	45-49	208	165	179	189
2018	5	St. Alban	50-54	257	208	150	157
2018	5	St. Alban	55-59	260	214	77	130
2018	5	St. Alban	60-64	256	204	59	55
2018	5	St. Alban	65-69	239	201	32	46
2018	5	St. Alban	70-74	279	203	29	36
2018	5	St. Alban	75-79	306	206	20	29
2018	5	St. Alban	80-84	316	165	17	9
2018	5	St. Alban	85-89	281	119	8	11
2018	5	St. Alban	90-94	183	75	9	4
2018	5	St. Alban	95-99	56	24	0	1
2018	5	St. Alban	100+	4	1	0	0
2018	6	Gundeldingen	0-4	252	310	199	185
2018	6	Gundeldingen	5-9	170	151	131	146
2018	6	Gundeldingen	10-14	162	163	97	105
2018	6	Gundeldingen	15-19	180	203	126	105
2018	6	Gundeldingen	20-24	460	305	170	197
2018	6	Gundeldingen	25-29	718	645	398	361
2018	6	Gundeldingen	30-34	625	584	473	491
2018	6	Gundeldingen	35-39	403	456	436	462
2018	6	Gundeldingen	40-44	293	332	334	396
2018	6	Gundeldingen	45-49	302	293	289	276
2018	6	Gundeldingen	50-54	386	355	281	297
2018	6	Gundeldingen	55-59	351	312	209	274
2018	6	Gundeldingen	60-64	373	319	141	186
2018	6	Gundeldingen	65-69	303	290	111	116
2018	6	Gundeldingen	70-74	278	241	81	81
2018	6	Gundeldingen	75-79	228	139	53	82
2018	6	Gundeldingen	80-84	206	126	49	38
2018	6	Gundeldingen	85-89	167	80	20	16
2018	6	Gundeldingen	90-94	105	39	11	3
2018	6	Gundeldingen	95-99	33	12	0	1
2018	6	Gundeldingen	100+	1	0	1	0
2018	7	Bruderholz	0-4	171	160	78	93
2018	7	Bruderholz	5-9	191	205	82	97
2018	7	Bruderholz	10-14	169	193	56	79
2018	7	Bruderholz	15-19	179	179	43	36
2018	7	Bruderholz	20-24	187	177	43	48
2018	7	Bruderholz	25-29	144	144	50	39
2018	7	Bruderholz	30-34	142	125	82	78
2018	7	Bruderholz	35-39	170	144	157	125
2018	7	Bruderholz	40-44	207	169	142	145
2018	7	Bruderholz	45-49	222	187	111	144
2018	7	Bruderholz	50-54	291	266	90	108
2018	7	Bruderholz	55-59	292	256	69	78
2018	7	Bruderholz	60-64	259	236	36	44
2018	7	Bruderholz	65-69	230	197	26	25
2018	7	Bruderholz	70-74	232	209	18	20
2018	7	Bruderholz	75-79	222	150	15	19
2018	7	Bruderholz	80-84	189	112	12	15
2018	7	Bruderholz	85-89	152	104	2	1
2018	7	Bruderholz	90-94	97	43	4	0
2018	7	Bruderholz	95-99	26	10	1	0
2018	7	Bruderholz	100+	5	3	0	0
2018	8	Bachletten	0-4	218	261	68	94
2018	8	Bachletten	5-9	224	241	90	79
2018	8	Bachletten	10-14	208	265	58	55
2018	8	Bachletten	15-19	215	257	50	35
2018	8	Bachletten	20-24	302	283	50	53
2018	8	Bachletten	25-29	330	274	110	103
2018	8	Bachletten	30-34	320	301	205	166
2018	8	Bachletten	35-39	306	247	212	170
2018	8	Bachletten	40-44	292	221	171	165
2018	8	Bachletten	45-49	349	302	119	128
2018	8	Bachletten	50-54	452	361	120	128
2018	8	Bachletten	55-59	478	391	78	115
2018	8	Bachletten	60-64	431	341	42	54
2018	8	Bachletten	65-69	394	292	24	34
2018	8	Bachletten	70-74	354	253	23	25
2018	8	Bachletten	75-79	327	198	22	30
2018	8	Bachletten	80-84	248	166	26	18
2018	8	Bachletten	85-89	197	110	7	5
2018	8	Bachletten	90-94	100	47	10	1
2018	8	Bachletten	95-99	34	5	1	1
2018	8	Bachletten	100+	4	1	0	0
2018	9	Gotthelf	0-4	101	101	66	52
2018	9	Gotthelf	5-9	106	106	35	35
2018	9	Gotthelf	10-14	108	117	34	39
2018	9	Gotthelf	15-19	90	92	23	20
2018	9	Gotthelf	20-24	145	112	29	35
2018	9	Gotthelf	25-29	209	159	109	91
2018	9	Gotthelf	30-34	174	167	150	123
2018	9	Gotthelf	35-39	137	121	114	117
2018	9	Gotthelf	40-44	149	116	105	103
2018	9	Gotthelf	45-49	157	138	93	94
2018	9	Gotthelf	50-54	199	158	56	96
2018	9	Gotthelf	55-59	189	150	51	59
2018	9	Gotthelf	60-64	200	151	21	40
2018	9	Gotthelf	65-69	200	124	19	22
2018	9	Gotthelf	70-74	167	108	19	16
2018	9	Gotthelf	75-79	143	92	20	20
2018	9	Gotthelf	80-84	123	65	19	20
2018	9	Gotthelf	85-89	127	47	12	6
2018	9	Gotthelf	90-94	79	21	0	1
2018	9	Gotthelf	95-99	15	7	0	0
2018	9	Gotthelf	100+	2	0	0	0
2018	10	Iselin	0-4	240	234	156	185
2018	10	Iselin	5-9	205	216	161	158
2018	10	Iselin	10-14	178	208	115	142
2018	10	Iselin	15-19	229	250	132	130
2018	10	Iselin	20-24	424	333	184	152
2018	10	Iselin	25-29	560	439	340	313
2018	10	Iselin	30-34	415	369	405	429
2018	10	Iselin	35-39	331	278	368	385
2018	10	Iselin	40-44	260	268	300	322
2018	10	Iselin	45-49	291	259	248	280
2018	10	Iselin	50-54	417	358	234	254
2018	10	Iselin	55-59	413	372	167	190
2018	10	Iselin	60-64	337	297	118	127
2018	10	Iselin	65-69	312	260	89	90
2018	10	Iselin	70-74	311	208	66	67
2018	10	Iselin	75-79	265	176	50	52
2018	10	Iselin	80-84	227	105	35	38
2018	10	Iselin	85-89	185	110	20	11
2018	10	Iselin	90-94	69	27	5	3
2018	10	Iselin	95-99	17	7	2	0
2018	10	Iselin	100+	3	1	0	0
2018	11	St. Johann	0-4	267	217	235	238
2018	11	St. Johann	5-9	222	211	166	206
2018	11	St. Johann	10-14	206	202	157	129
2018	11	St. Johann	15-19	225	225	131	142
2018	11	St. Johann	20-24	427	355	197	206
2018	11	St. Johann	25-29	518	424	400	376
2018	11	St. Johann	30-34	432	409	504	493
2018	11	St. Johann	35-39	334	340	492	560
2018	11	St. Johann	40-44	244	313	374	452
2018	11	St. Johann	45-49	305	305	310	348
2018	11	St. Johann	50-54	343	356	273	326
2018	11	St. Johann	55-59	372	372	223	243
2018	11	St. Johann	60-64	310	316	154	188
2018	11	St. Johann	65-69	266	261	101	113
2018	11	St. Johann	70-74	264	208	81	83
2018	11	St. Johann	75-79	229	159	57	52
2018	11	St. Johann	80-84	215	110	33	32
2018	11	St. Johann	85-89	237	106	17	11
2018	11	St. Johann	90-94	146	47	9	3
2018	11	St. Johann	95-99	48	12	0	1
2018	11	St. Johann	100+	9	0	1	0
2018	12	Altstadt Kleinbasel	0-4	23	32	19	21
2018	12	Altstadt Kleinbasel	5-9	19	15	11	6
2018	12	Altstadt Kleinbasel	10-14	11	19	15	12
2018	12	Altstadt Kleinbasel	15-19	17	25	12	11
2018	12	Altstadt Kleinbasel	20-24	31	39	22	21
2018	12	Altstadt Kleinbasel	25-29	73	67	62	43
2018	12	Altstadt Kleinbasel	30-34	60	76	80	75
2018	12	Altstadt Kleinbasel	35-39	45	67	69	64
2018	12	Altstadt Kleinbasel	40-44	25	49	41	47
2018	12	Altstadt Kleinbasel	45-49	33	46	40	39
2018	12	Altstadt Kleinbasel	50-54	53	54	35	33
2018	12	Altstadt Kleinbasel	55-59	46	75	21	20
2018	12	Altstadt Kleinbasel	60-64	46	63	12	25
2018	12	Altstadt Kleinbasel	65-69	44	66	9	9
2018	12	Altstadt Kleinbasel	70-74	34	50	6	6
2018	12	Altstadt Kleinbasel	75-79	64	29	6	10
2018	12	Altstadt Kleinbasel	80-84	26	25	3	11
2018	12	Altstadt Kleinbasel	85-89	27	15	2	0
2018	12	Altstadt Kleinbasel	90-94	17	11	2	0
2018	12	Altstadt Kleinbasel	95-99	6	1	0	0
2018	12	Altstadt Kleinbasel	100+	1	0	0	0
2018	13	Clara	0-4	35	38	47	48
2018	13	Clara	5-9	25	19	38	32
2018	13	Clara	10-14	27	20	32	42
2018	13	Clara	15-19	31	37	25	32
2018	13	Clara	20-24	70	67	46	44
2018	13	Clara	25-29	80	96	101	112
2018	13	Clara	30-34	77	71	131	134
2018	13	Clara	35-39	50	75	97	120
2018	13	Clara	40-44	34	68	73	84
2018	13	Clara	45-49	49	66	63	88
2018	13	Clara	50-54	61	83	58	77
2018	13	Clara	55-59	80	80	50	62
2018	13	Clara	60-64	66	58	44	40
2018	13	Clara	65-69	78	69	32	46
2018	13	Clara	70-74	67	62	19	33
2018	13	Clara	75-79	74	54	19	12
2018	13	Clara	80-84	88	32	13	14
2018	13	Clara	85-89	71	32	1	6
2018	13	Clara	90-94	40	15	4	1
2018	13	Clara	95-99	13	0	1	0
2018	13	Clara	100+	3	0	0	0
2018	14	Wettstein	0-4	77	73	42	45
2018	14	Wettstein	5-9	50	49	30	29
2018	14	Wettstein	10-14	44	63	24	30
2018	14	Wettstein	15-19	95	78	30	28
2018	14	Wettstein	20-24	93	116	48	37
2018	14	Wettstein	25-29	166	138	87	88
2018	14	Wettstein	30-34	148	143	142	129
2018	14	Wettstein	35-39	114	109	113	121
2018	14	Wettstein	40-44	91	89	97	107
2018	14	Wettstein	45-49	121	91	67	75
2018	14	Wettstein	50-54	159	120	76	83
2018	14	Wettstein	55-59	165	145	34	50
2018	14	Wettstein	60-64	148	134	25	27
2018	14	Wettstein	65-69	136	127	15	19
2018	14	Wettstein	70-74	119	96	10	20
2018	14	Wettstein	75-79	106	74	14	10
2018	14	Wettstein	80-84	110	46	10	5
2018	14	Wettstein	85-89	72	24	2	4
2018	14	Wettstein	90-94	33	11	0	0
2018	14	Wettstein	95-99	11	3	0	0
2018	14	Wettstein	100+	0	0	0	0
2018	15	Hirzbrunnen	0-4	196	177	60	74
2018	15	Hirzbrunnen	5-9	177	199	65	72
2018	15	Hirzbrunnen	10-14	133	182	47	56
2018	15	Hirzbrunnen	15-19	166	170	41	38
2018	15	Hirzbrunnen	20-24	168	184	41	31
2018	15	Hirzbrunnen	25-29	191	186	106	100
2018	15	Hirzbrunnen	30-34	198	163	135	147
2018	15	Hirzbrunnen	35-39	208	204	148	141
2018	15	Hirzbrunnen	40-44	189	172	122	138
2018	15	Hirzbrunnen	45-49	196	191	80	98
2018	15	Hirzbrunnen	50-54	242	212	81	86
2018	15	Hirzbrunnen	55-59	267	217	51	51
2018	15	Hirzbrunnen	60-64	260	207	37	45
2018	15	Hirzbrunnen	65-69	242	189	39	36
2018	15	Hirzbrunnen	70-74	266	200	27	31
2018	15	Hirzbrunnen	75-79	238	163	18	31
2018	15	Hirzbrunnen	80-84	204	131	26	18
2018	15	Hirzbrunnen	85-89	142	69	8	7
2018	15	Hirzbrunnen	90-94	81	28	4	0
2018	15	Hirzbrunnen	95-99	22	7	0	1
2018	15	Hirzbrunnen	100+	2	1	0	0
2018	16	Rosental	0-4	88	96	126	117
2018	16	Rosental	5-9	82	84	86	97
2018	16	Rosental	10-14	57	57	81	90
2018	16	Rosental	15-19	52	76	60	80
2018	16	Rosental	20-24	132	110	112	97
2018	16	Rosental	25-29	206	227	203	210
2018	16	Rosental	30-34	130	169	264	280
2018	16	Rosental	35-39	113	125	264	303
2018	16	Rosental	40-44	79	91	156	238
2018	16	Rosental	45-49	84	77	117	164
2018	16	Rosental	50-54	80	93	87	117
2018	16	Rosental	55-59	79	73	72	89
2018	16	Rosental	60-64	65	71	54	72
2018	16	Rosental	65-69	53	54	38	44
2018	16	Rosental	70-74	50	40	19	21
2018	16	Rosental	75-79	47	36	10	15
2018	16	Rosental	80-84	40	22	11	6
2018	16	Rosental	85-89	36	14	6	2
2018	16	Rosental	90-94	21	8	1	0
2018	16	Rosental	95-99	11	2	0	0
2018	16	Rosental	100+	1	0	0	0
2018	17	Matthäus	0-4	159	195	194	218
2018	17	Matthäus	5-9	121	169	164	170
2018	17	Matthäus	10-14	114	121	129	156
2018	17	Matthäus	15-19	135	155	115	125
2018	17	Matthäus	20-24	339	220	196	226
2018	17	Matthäus	25-29	458	383	404	441
2018	17	Matthäus	30-34	376	371	502	551
2018	17	Matthäus	35-39	227	314	413	561
2018	17	Matthäus	40-44	205	237	332	440
2018	17	Matthäus	45-49	217	225	251	344
2018	17	Matthäus	50-54	263	274	259	320
2018	17	Matthäus	55-59	260	300	197	263
2018	17	Matthäus	60-64	243	246	152	223
2018	17	Matthäus	65-69	215	226	113	120
2018	17	Matthäus	70-74	173	156	91	94
2018	17	Matthäus	75-79	156	116	42	62
2018	17	Matthäus	80-84	109	74	42	29
2018	17	Matthäus	85-89	79	28	16	17
2018	17	Matthäus	90-94	37	12	4	3
2018	17	Matthäus	95-99	12	5	2	0
2018	17	Matthäus	100+	5	0	0	0
2018	18	Klybeck	0-4	74	85	108	101
2018	18	Klybeck	5-9	62	78	105	119
2018	18	Klybeck	10-14	84	76	91	95
2018	18	Klybeck	15-19	92	80	70	77
2018	18	Klybeck	20-24	139	129	80	122
2018	18	Klybeck	25-29	128	137	182	172
2018	18	Klybeck	30-34	114	107	205	228
2018	18	Klybeck	35-39	103	118	181	219
2018	18	Klybeck	40-44	92	120	172	217
2018	18	Klybeck	45-49	95	90	129	141
2018	18	Klybeck	50-54	130	150	120	147
2018	18	Klybeck	55-59	140	138	116	124
2018	18	Klybeck	60-64	114	102	71	106
2018	18	Klybeck	65-69	94	83	56	80
2018	18	Klybeck	70-74	82	86	35	48
2018	18	Klybeck	75-79	63	64	28	23
2018	18	Klybeck	80-84	73	38	11	15
2018	18	Klybeck	85-89	49	39	6	3
2018	18	Klybeck	90-94	22	5	3	1
2018	18	Klybeck	95-99	7	4	0	0
2018	18	Klybeck	100+	0	0	0	0
2018	19	Kleinhüningen	0-4	36	42	44	44
2018	19	Kleinhüningen	5-9	31	34	44	37
2018	19	Kleinhüningen	10-14	31	27	32	40
2018	19	Kleinhüningen	15-19	47	40	24	16
2018	19	Kleinhüningen	20-24	56	36	49	44
2018	19	Kleinhüningen	25-29	60	40	64	60
2018	19	Kleinhüningen	30-34	36	44	69	78
2018	19	Kleinhüningen	35-39	36	29	62	75
2018	19	Kleinhüningen	40-44	46	36	48	64
2018	19	Kleinhüningen	45-49	45	44	45	46
2018	19	Kleinhüningen	50-54	49	53	37	48
2018	19	Kleinhüningen	55-59	46	69	32	57
2018	19	Kleinhüningen	60-64	45	51	33	37
2018	19	Kleinhüningen	65-69	48	39	26	19
2018	19	Kleinhüningen	70-74	42	32	17	23
2018	19	Kleinhüningen	75-79	54	41	13	10
2018	19	Kleinhüningen	80-84	30	18	11	12
2018	19	Kleinhüningen	85-89	28	12	3	5
2018	19	Kleinhüningen	90-94	19	6	1	1
2018	19	Kleinhüningen	95-99	7	1	1	0
2018	19	Kleinhüningen	100+	1	0	0	0
2018	20	Riehen	0-4	284	327	149	182
2018	20	Riehen	5-9	376	360	198	219
2018	20	Riehen	10-14	385	390	190	218
2018	20	Riehen	15-19	374	448	130	131
2018	20	Riehen	20-24	357	385	104	99
2018	20	Riehen	25-29	270	268	116	115
2018	20	Riehen	30-34	244	267	212	161
2018	20	Riehen	35-39	324	290	318	269
2018	20	Riehen	40-44	421	304	342	345
2018	20	Riehen	45-49	457	412	308	269
2018	20	Riehen	50-54	668	536	286	285
2018	20	Riehen	55-59	693	612	177	236
2018	20	Riehen	60-64	643	567	77	109
2018	20	Riehen	65-69	565	463	54	61
2018	20	Riehen	70-74	623	481	44	52
2018	20	Riehen	75-79	602	422	64	75
2018	20	Riehen	80-84	535	315	44	25
2018	20	Riehen	85-89	405	252	15	20
2018	20	Riehen	90-94	231	96	7	3
2018	20	Riehen	95-99	61	21	0	0
2018	20	Riehen	100+	4	1	0	0
2018	30	Bettingen	0-4	21	20	5	6
2018	30	Bettingen	5-9	20	25	11	7
2018	30	Bettingen	10-14	22	24	8	8
2018	30	Bettingen	15-19	17	24	6	9
2018	30	Bettingen	20-24	29	26	9	14
2018	30	Bettingen	25-29	24	24	11	9
2018	30	Bettingen	30-34	12	10	17	10
2018	30	Bettingen	35-39	26	18	15	7
2018	30	Bettingen	40-44	20	22	14	12
2018	30	Bettingen	45-49	22	22	18	15
2018	30	Bettingen	50-54	35	38	12	17
2018	30	Bettingen	55-59	38	47	8	5
2018	30	Bettingen	60-64	36	33	5	8
2018	30	Bettingen	65-69	22	30	8	7
2018	30	Bettingen	70-74	39	22	1	4
2018	30	Bettingen	75-79	31	19	3	2
2018	30	Bettingen	80-84	30	20	2	2
2018	30	Bettingen	85-89	21	4	3	0
2018	30	Bettingen	90-94	11	2	0	1
2018	30	Bettingen	95-99	7	0	0	0
2018	30	Bettingen	100+	1	0	0	0
