Publikationsjahr	Indikator_Nr	jahr_num	jahr_char	Wert	Indikator_Label	Indikator_Name	Wohnviertel_id	Wohnviertel	Rang
2025	5	2024	2024	0.6042	Gymnasialquote	Gymnasialquote	8	Bachletten	20
2025	5	2024	2024	0.5088	Gymnasialquote	Gymnasialquote	9	Gotthelf	15
2025	5	2024	2024	0.3121	Gymnasialquote	Gymnasialquote	10	Iselin	10
2025	5	2024	2024	0.2876	Gymnasialquote	Gymnasialquote	11	St. Johann	8
2025	5	2024	2024	0.1538	Gymnasialquote	Gymnasialquote	12	Altstadt Kleinbasel	2
2025	5	2024	2024	0.2041	Gymnasialquote	Gymnasialquote	13	Clara	3
2025	5	2024	2024	0.6154	Gymnasialquote	Gymnasialquote	14	Wettstein	21
2025	5	2024	2024	0.3445	Gymnasialquote	Gymnasialquote	15	Hirzbrunnen	11
2025	5	2024	2024	0.2927	Gymnasialquote	Gymnasialquote	16	Rosental	9
2025	5	2024	2024	0.2595	Gymnasialquote	Gymnasialquote	17	Matthäus	6
2025	5	2024	2024	0.1385	Gymnasialquote	Gymnasialquote	18	Klybeck	1
2025	5	2024	2024	0.2182	Gymnasialquote	Gymnasialquote	19	Kleinhüningen	4
2025	5	2024	2024	0.4821	Gymnasialquote	Gymnasialquote	20	Riehen	13
2025	5	2024	2024	0.5238	Gymnasialquote	Gymnasialquote	30	Bettingen	17
2025	6	2024	2024	0.3085501859	Altersquotient	Altersquotient	1	Altstadt Grossbasel	12
2025	6	2024	2024	0.3272672126	Altersquotient	Altersquotient	2	Vorstädte	13
2025	6	2024	2024	0.3002136752	Altersquotient	Altersquotient	3	Am Ring	9
2025	6	2024	2024	0.3085440423	Altersquotient	Altersquotient	4	Breite	11
2025	6	2024	2024	0.3868603231	Altersquotient	Altersquotient	5	St. Alban	17
2025	6	2024	2024	0.2316645527	Altersquotient	Altersquotient	6	Gundeldingen	4
2025	6	2024	2024	0.4039297185	Altersquotient	Altersquotient	7	Bruderholz	19
2025	6	2024	2024	0.3782415411	Altersquotient	Altersquotient	8	Bachletten	16
2025	6	2024	2024	0.3606746765	Altersquotient	Altersquotient	9	Gotthelf	15
2025	6	2024	2024	0.2436791264	Altersquotient	Altersquotient	10	Iselin	6
2025	6	2024	2024	0.2364430147	Altersquotient	Altersquotient	11	St. Johann	5
2025	6	2024	2024	0.2876234747	Altersquotient	Altersquotient	12	Altstadt Kleinbasel	7
2025	6	2024	2024	0.3014804845	Altersquotient	Altersquotient	13	Clara	10
2025	6	2024	2024	0.2878669784	Altersquotient	Altersquotient	14	Wettstein	8
2025	6	2024	2024	0.393751142	Altersquotient	Altersquotient	15	Hirzbrunnen	18
2025	6	2024	2024	0.133782308	Altersquotient	Altersquotient	16	Rosental	1
2025	6	2024	2024	0.2045391126	Altersquotient	Altersquotient	17	Matthäus	2
2025	6	2024	2024	0.2239025415	Altersquotient	Altersquotient	18	Klybeck	3
2025	6	2024	2024	0.3355106888	Altersquotient	Altersquotient	19	Kleinhüningen	14
2025	6	2024	2024	0.479521899	Altersquotient	Altersquotient	20	Riehen	21
2025	6	2024	2024	0.4651493599	Altersquotient	Altersquotient	30	Bettingen	20
2025	7	2024	2024	0.3108530594	Anteil&nbsp;Sesshafte	Anteilsesshafte	1	Altstadt Grossbasel	12
2025	7	2024	2024	0.293987976	Anteil&nbsp;Sesshafte	Anteilsesshafte	2	Vorstädte	5
2025	7	2024	2024	0.2847682119	Anteil&nbsp;Sesshafte	Anteilsesshafte	3	Am Ring	4
2025	7	2024	2024	0.3184645078	Anteil&nbsp;Sesshafte	Anteilsesshafte	4	Breite	13
2025	7	2024	2024	0.2942251172	Anteil&nbsp;Sesshafte	Anteilsesshafte	5	St. Alban	6
2025	7	2024	2024	0.3060757387	Anteil&nbsp;Sesshafte	Anteilsesshafte	6	Gundeldingen	9
2025	7	2024	2024	0.4260145682	Anteil&nbsp;Sesshafte	Anteilsesshafte	7	Bruderholz	21
2025	7	2024	2024	0.4085560721	Anteil&nbsp;Sesshafte	Anteilsesshafte	8	Bachletten	19
2025	7	2024	2024	0.3569004525	Anteil&nbsp;Sesshafte	Anteilsesshafte	9	Gotthelf	16
2025	7	2024	2024	0.3095211705	Anteil&nbsp;Sesshafte	Anteilsesshafte	10	Iselin	11
2025	7	2024	2024	0.2989469379	Anteil&nbsp;Sesshafte	Anteilsesshafte	11	St. Johann	7
2025	7	2024	2024	0.2732868281	Anteil&nbsp;Sesshafte	Anteilsesshafte	12	Altstadt Kleinbasel	2
2025	7	2024	2024	0.2832199546	Anteil&nbsp;Sesshafte	Anteilsesshafte	13	Clara	3
2025	7	2024	2024	0.3516389223	Anteil&nbsp;Sesshafte	Anteilsesshafte	14	Wettstein	15
2025	7	2024	2024	0.384456173	Anteil&nbsp;Sesshafte	Anteilsesshafte	15	Hirzbrunnen	17
2025	7	2024	2024	0.1921492921	Anteil&nbsp;Sesshafte	Anteilsesshafte	16	Rosental	1
2025	7	2024	2024	0.3076872363	Anteil&nbsp;Sesshafte	Anteilsesshafte	17	Matthäus	10
2025	7	2024	2024	0.3048986486	Anteil&nbsp;Sesshafte	Anteilsesshafte	18	Klybeck	8
2025	7	2024	2024	0.3484684685	Anteil&nbsp;Sesshafte	Anteilsesshafte	19	Kleinhüningen	14
2025	7	2024	2024	0.4032514579	Anteil&nbsp;Sesshafte	Anteilsesshafte	20	Riehen	18
2025	7	2024	2024	0.4230769231	Anteil&nbsp;Sesshafte	Anteilsesshafte	30	Bettingen	20
2025	8	2024	2024	0.151354222	Jugendquotient	Jugendquotient	1	Altstadt Grossbasel	2
2025	8	2024	2024	0.186229906	Jugendquotient	Jugendquotient	2	Vorstädte	4
2025	8	2024	2024	0.2323717949	Jugendquotient	Jugendquotient	3	Am Ring	8
2025	8	2024	2024	0.2326888118	Jugendquotient	Jugendquotient	4	Breite	9
2025	8	2024	2024	0.3219763812	Jugendquotient	Jugendquotient	5	St. Alban	17
2025	8	2024	2024	0.2026411997	Jugendquotient	Jugendquotient	6	Gundeldingen	5
