"Gemeinde"	"GemeindeDescr"	"Personenwagen pro 1000 Einwohner"
FR_68288	Ruederbach	716.8
FR_68297	Saint-Louis	518.7
FR_68309	Sierentz	657.4
FR_68312	Sondersdorf	759.5
FR_68325	Steinsoultz	782.4
FR_68327	Stetten	758.9
FR_68341	Uffheim	729.6
FR_68347	Vieux-Ferrette	671.9
FR_68349	Village-Neuf	657.8
FR_68353	Wahlbach	729.3
FR_68355	Waldighofen	711.3
FR_68357	Waltenheim	775.4
FR_68362	Wentzwiller	755.4
FR_68363	Werentzhouse	755.2
FR_68371	Willer	745.8
FR_68380	Wolschwiller	780.6
FR_68382	Zaessingue	705.3
