Codegeo	GemeindeDescr	PerNum	Per
13042854	Nusshof	2	Übrige Agglomeration CH
13042856	Ormalingen	2	Übrige Agglomeration CH
13042857	Rickenbach (BL)	2	Übrige Agglomeration CH
13042859	Rümlingen	2	Übrige Agglomeration CH
13042860	Rünenberg	2	Übrige Agglomeration CH
13042861	Sissach	2	Übrige Agglomeration CH
13042862	Tecknau	2	Übrige Agglomeration CH
13042863	Tenniken	2	Übrige Agglomeration CH
13042864	Thürnen	2	Übrige Agglomeration CH
13042865	Wenslingen	2	Übrige Agglomeration CH
13042866	Wintersingen	2	Übrige Agglomeration CH
13042867	Wittinsburg	2	Übrige Agglomeration CH
13042869	Zunzgen	2	Übrige Agglomeration CH
13052881	Arboldswil	2	Übrige Agglomeration CH
13052882	Bennwil	2	Übrige Agglomeration CH
13052883	Bretzwil	2	Übrige Agglomeration CH
13052884	Diegten	2	Übrige Agglomeration CH
13052886	Hölstein	2	Übrige Agglomeration CH
13052887	Lampenberg	2	Übrige Agglomeration CH
13052889	Lauwil	2	Übrige Agglomeration CH
13052891	Niederdorf	2	Übrige Agglomeration CH
13052892	Oberdorf (BL)	2	Übrige Agglomeration CH
13052893	Reigoldswil	2	Übrige Agglomeration CH
13052894	Titterten	2	Übrige Agglomeration CH
19094251	Hellikon	2	Übrige Agglomeration CH
19094252	Kaiseraugst	2	Übrige Agglomeration CH
19094253	Magden	2	Übrige Agglomeration CH
19094254	Möhlin	2	Übrige Agglomeration CH
19094255	Mumpf	2	Übrige Agglomeration CH
19094256	Obermumpf	2	Übrige Agglomeration CH
19094257	Olsberg	2	Übrige Agglomeration CH
19094258	Rheinfelden	2	Übrige Agglomeration CH
19094262	Wegenstetten	2	Übrige Agglomeration CH
19094263	Zeiningen	2	Übrige Agglomeration CH
19094264	Zuzgen	2	Übrige Agglomeration CH
08336006	Bad Bellingen	3	Agglomeration D
08336008	Binzen	3	Agglomeration D
08336014	Efringen-Kirchen	3	Agglomeration D
08336019	Eimeldingen	3	Agglomeration D
08336024	Fischingen	3	Agglomeration D
08336034	Hasel	3	Agglomeration D
08336036	Hausen im Wiesental	3	Agglomeration D
08336043	Inzlingen	3	Agglomeration D
08336045	Kandern	3	Agglomeration D
08336050	Lörrach	3	Agglomeration D
08336057	Maulburg	3	Agglomeration D
08336069	Rheinfelden (Baden)	3	Agglomeration D
08336073	Rümmingen	3	Agglomeration D
08336075	Schallbach	3	Agglomeration D
08336081	Schopfheim	3	Agglomeration D
08336082	Schwörstadt	3	Agglomeration D
08336084	Steinen	3	Agglomeration D
08336091	Weil am Rhein	3	Agglomeration D
08336100	Wittlingen	3	Agglomeration D
08336103	Zell im Wiesental	3	Agglomeration D
08336104	Malsburg-Marzell	3	Agglomeration D
08336105	Grenzach-Wyhlen	3	Agglomeration D
08336106	Häg-Ehrsberg	3	Agglomeration D
08336107	Kleines Wiesental	3	Agglomeration D
99968013	Attenschwiller	4	Agglomeration F
99968021	Bartenheim	4	Agglomeration F
99968025	Bendorf	4	Agglomeration F
99968027	Berentzwiller	4	Agglomeration F
99968034	Bettlach	4	Agglomeration F
99968035	Biederthal	4	Agglomeration F
99968042	Blotzheim	4	Agglomeration F
99968049	Bouxwiller	4	Agglomeration F
99968054	Brinckheim	4	Agglomeration F
99968061	Buschwiller	4	Agglomeration F
99968075	Durmenach	4	Agglomeration F
99968080	Emlingen	4	Agglomeration F
99968087	Feldbach	4	Agglomeration F
99968090	Ferrette	4	Agglomeration F
99968092	Fislis	4	Agglomeration F
99968094	Folgensbourg	4	Agglomeration F
99968096	Franken	4	Agglomeration F
99968103	Geispitzen	4	Agglomeration F
99968120	Hagenthal-le-Bas	4	Agglomeration F
99968121	Hagenthal-le-Haut	4	Agglomeration F
99968124	Hausgauen	4	Agglomeration F
99968126	Hégenheim	4	Agglomeration F
99968131	Heiwiller	4	Agglomeration F
99968132	Helfrantzkirch	4	Agglomeration F
99968135	Hésingue	4	Agglomeration F
99968148	Hundsbach	4	Agglomeration F
99968149	Huningue	4	Agglomeration F
99968158	Jettingen	4	Agglomeration F
99968160	Kappelen	4	Agglomeration F
99968163	Kembs	4	Agglomeration F
99968168	Knœringue	4	Agglomeration F
99968169	Kœstlach	4	Agglomeration F
99968170	Kœtzingue	4	Agglomeration F
99968182	Leymen	4	Agglomeration F
99968183	Liebenswiller	4	Agglomeration F
99968186	Ligsdorf	4	Agglomeration F
99968187	Linsdorf	4	Agglomeration F
99968194	Lutter	4	Agglomeration F
99968197	Magstatt-le-Bas	4	Agglomeration F
99968198	Magstatt-le-Haut	4	Agglomeration F
99968207	Michelbach-le-Bas	4	Agglomeration F
99968208	Michelbach-le-Haut	4	Agglomeration F
99968221	Muespach	4	Agglomeration F
99968222	Muespach-le-Haut	4	Agglomeration F
99968232	Neuwiller	4	Agglomeration F
99968238	Niffer	4	Agglomeration F
99968240	Illtal	4	Agglomeration F
99968248	Oltingue	4	Agglomeration F
99968254	Petit-Landau	4	Agglomeration F
99968259	Raedersdorf	4	Agglomeration F
99968263	Ranspach-le-Bas	4	Agglomeration F
99968264	Ranspach-le-Haut	4	Agglomeration F
99968265	Rantzwiller	4	Agglomeration F
99968273	Riespach	4	Agglomeration F
99968284	Roppentzwiller	4	Agglomeration F
99968286	Rosenau	4	Agglomeration F
99968297	Saint-Louis	4	Agglomeration F
99968309	Sierentz	4	Agglomeration F
99968312	Sondersdorf	4	Agglomeration F
99968325	Steinsoultz	4	Agglomeration F
99968327	Stetten	4	Agglomeration F
99968333	Tagsdorf	4	Agglomeration F
99968341	Uffheim	4	Agglomeration F
99968347	Vieux-Ferrette	4	Agglomeration F
99968349	Village-Neuf	4	Agglomeration F
99968353	Wahlbach	4	Agglomeration F
99968355	Waldighofen	4	Agglomeration F
99968357	Waltenheim	4	Agglomeration F
99968362	Wentzwiller	4	Agglomeration F
99968363	Werentzhouse	4	Agglomeration F
99968380	Wolschwiller	4	Agglomeration F
99968382	Zaessingue	4	Agglomeration F
