JAHR	Wohnviertel_id	Wohnviertel	Total	Deutschland	Italien	Türkei	Spanien	Portugal	Nordmazedonien	Jugoslawien	Serbien, Montenegro, Kosovo	Bosnien-Herzegowina	Slowenien	Kroatien	Frankreich	UK	Ukraine	Indien	Schweiz	Übrige Länder
1980	1	Altstadt Grossbasel	2439	63	59	25	47	5	0	17	0	0	0	0	17	8	0	0	2117	81
1981	1	Altstadt Grossbasel	2396	61	55	18	49	16	0	20	0	0	0	0	16	4	0	0	2078	79
1982	1	Altstadt Grossbasel	2428	67	51	27	49	13	0	22	0	0	0	0	12	4	0	1	2103	79
1983	1	Altstadt Grossbasel	2411	72	45	46	44	11	0	23	0	0	0	0	10	3	0	0	2082	75
1984	1	Altstadt Grossbasel	2444	87	43	89	47	3	0	14	0	0	0	0	12	5	0	0	2083	61
1985	1	Altstadt Grossbasel	2463	65	43	108	48	5	0	16	0	0	0	0	9	6	0	1	2085	77
1986	1	Altstadt Grossbasel	2449	65	47	55	41	7	0	18	0	0	0	0	10	9	0	2	2097	98
1987	1	Altstadt Grossbasel	2395	62	50	59	36	6	0	20	0	0	0	0	14	9	0	0	2034	105
1988	1	Altstadt Grossbasel	2423	72	42	61	34	7	0	24	0	0	0	0	9	10	0	1	2061	102
1989	1	Altstadt Grossbasel	2361	71	45	43	33	8	0	29	0	0	0	0	9	8	0	2	2019	94
1990	1	Altstadt Grossbasel	2363	70	45	45	35	5	0	26	0	0	0	0	12	18	0	3	2007	97
1991	1	Altstadt Grossbasel	2327	72	49	28	33	9	0	41	0	0	0	0	9	12	0	3	1966	105
1992	1	Altstadt Grossbasel	2344	80	48	26	38	11	0	33	0	0	0	8	8	15	0	3	1972	102
1993	1	Altstadt Grossbasel	2318	75	50	24	40	12	1	35	0	0	0	12	16	8	0	3	1956	86
1994	1	Altstadt Grossbasel	2300	89	54	23	41	11	8	29	0	2	0	9	9	11	0	3	1927	84
1995	1	Altstadt Grossbasel	2262	98	55	9	40	9	9	21	0	2	0	9	14	14	1	3	1903	75
1996	1	Altstadt Grossbasel	2153	96	58	4	29	5	3	16	0	0	0	0	12	21	1	14	1829	65
1997	1	Altstadt Grossbasel	2150	88	61	3	25	5	5	9	0	0	1	2	12	20	0	15	1823	81
1998	1	Altstadt Grossbasel	2175	98	54	6	26	5	5	8	0	0	1	1	9	20	0	7	1838	97
1999	1	Altstadt Grossbasel	2148	84	55	1	26	7	4	4	0	1	0	1	15	26	0	7	1807	110
2000	1	Altstadt Grossbasel	2122	93	60	5	25	4	2	3	0	0	0	1	16	32	2	6	1757	116
2001	1	Altstadt Grossbasel	2119	92	45	6	24	7	8	5	0	0	0	1	13	31	2	8	1751	126
2002	1	Altstadt Grossbasel	2093	118	39	5	20	6	1	4	0	0	0	0	23	42	1	4	1693	137
2003	1	Altstadt Grossbasel	2088	133	40	9	20	8	1	0	5	0	0	0	25	33	1	7	1672	134
2004	1	Altstadt Grossbasel	2071	136	39	9	18	10	0	0	4	0	1	0	25	31	1	1	1639	157
2005	1	Altstadt Grossbasel	2084	166	38	8	22	7	0	0	2	0	1	1	24	34	0	4	1618	159
2006	1	Altstadt Grossbasel	2036	177	35	8	24	7	0	0	2	0	1	1	24	40	0	9	1554	154
2007	1	Altstadt Grossbasel	2071	192	36	7	23	8	0	0	2	0	1	2	22	39	1	12	1538	188
2008	1	Altstadt Grossbasel	2040	188	42	6	18	10	0	0	3	0	1	2	30	36	3	5	1524	172
2009	1	Altstadt Grossbasel	1981	165	46	1	27	7	0	0	4	0	0	3	22	29	0	2	1495	180
2010	1	Altstadt Grossbasel	1972	164	55	2	23	9	0	0	3	0	0	0	18	44	1	2	1477	174
2011	1	Altstadt Grossbasel	2347	164	63	16	30	14	3	0	7	1	0	1	19	45	1	7	1772	204
2012	1	Altstadt Grossbasel	2426	159	70	12	27	14	3	0	10	1	1	2	20	52	1	7	1820	227
2013	1	Altstadt Grossbasel	2461	170	83	13	27	12	3	0	6	0	0	2	21	57	2	7	1821	237
2014	1	Altstadt Grossbasel	2454	169	70	14	32	18	2	0	9	0	0	3	27	52	3	7	1837	211
2015	1	Altstadt Grossbasel	2470	168	66	16	35	18	2	0	8	0	2	3	30	44	3	6	1846	223
2016	1	Altstadt Grossbasel	2546	194	67	22	41	18	3	0	4	0	2	2	33	44	4	4	1857	251
2017	1	Altstadt Grossbasel	2590	218	67	27	39	19	5	0	6	1	2	2	46	46	4	6	1854	248
2018	1	Altstadt Grossbasel	2599	212	64	30	38	18	6	0	5	0	2	2	49	38	3	5	1869	258
2019	1	Altstadt Grossbasel	2552	204	65	32	39	18	6	0	5	0	3	2	50	40	2	7	1832	247
2020	1	Altstadt Grossbasel	2639	217	64	29	43	20	6	0	5	0	4	3	56	47	2	8	1859	276
2021	1	Altstadt Grossbasel	2668	233	63	34	44	25	6	0	7	0	4	5	61	42	2	8	1837	297
2022	1	Altstadt Grossbasel	2740	230	61	37	51	28	6	0	10	0	4	5	48	47	23	13	1851	326
1980	2	Vorstädte	5998	189	348	46	118	12	0	64	0	0	0	0	81	32	0	9	4872	227
1981	2	Vorstädte	6073	194	334	51	128	18	0	70	0	0	0	0	70	48	0	7	4916	237
1982	2	Vorstädte	6029	202	331	72	139	24	0	86	0	0	0	0	59	37	0	1	4805	273
1983	2	Vorstädte	5964	198	321	95	144	31	0	92	0	0	0	0	62	28	0	1	4749	243
1984	2	Vorstädte	5863	191	292	103	152	27	0	75	0	0	0	0	58	33	0	0	4689	243
1985	2	Vorstädte	5881	176	287	133	149	28	0	65	0	0	0	0	55	17	0	0	4758	213
1986	2	Vorstädte	5784	167	261	85	136	35	0	69	0	0	0	0	55	16	0	0	4762	198
1987	2	Vorstädte	5965	177	256	335	123	32	0	72	0	0	0	0	60	17	0	5	4663	225
1988	2	Vorstädte	5792	198	257	193	130	30	0	90	0	0	0	0	47	19	0	6	4607	215
1989	2	Vorstädte	5871	188	241	184	133	31	0	134	0	0	0	0	56	25	0	9	4542	328
1990	2	Vorstädte	5446	184	227	66	138	31	0	91	0	0	0	0	56	29	0	1	4402	221
1991	2	Vorstädte	5433	182	215	68	121	28	0	86	0	0	0	0	52	26	0	1	4416	238
1992	2	Vorstädte	5406	184	219	64	125	39	0	88	0	0	7	14	48	27	0	1	4339	251
1993	2	Vorstädte	5459	197	220	55	122	40	5	73	0	1	5	26	55	35	0	1	4357	267
1994	2	Vorstädte	5449	207	217	45	113	31	10	76	0	10	3	31	57	33	2	1	4331	282
1995	2	Vorstädte	5360	192	198	58	113	32	17	67	0	4	2	32	48	38	0	4	4259	296
1996	2	Vorstädte	5225	197	199	68	101	32	17	77	0	2	2	30	46	38	1	5	4112	298
1997	2	Vorstädte	5027	201	184	79	100	25	8	72	0	3	2	26	46	36	2	7	3955	281
1998	2	Vorstädte	4939	198	169	78	85	21	14	68	0	2	2	20	45	36	2	2	3916	281
1999	2	Vorstädte	4878	193	175	66	81	21	16	57	0	4	2	16	41	64	5	3	3844	290
2000	2	Vorstädte	4731	189	152	69	70	26	17	42	0	9	1	20	37	43	3	10	3777	266
2001	2	Vorstädte	4708	201	140	66	68	25	16	52	0	14	1	15	31	55	5	14	3714	291
2002	2	Vorstädte	4654	216	134	77	63	24	15	33	0	7	0	11	36	52	6	21	3638	321
2003	2	Vorstädte	4554	231	129	69	58	20	14	0	30	9	0	13	27	57	3	19	3518	357
2004	2	Vorstädte	4537	259	142	71	60	17	13	0	24	6	0	14	36	50	5	21	3441	378
2005	2	Vorstädte	4549	300	153	75	66	18	16	0	20	4	0	15	43	70	3	26	3379	361
2006	2	Vorstädte	4599	366	142	71	57	20	19	0	27	6	2	20	51	70	5	40	3312	391
2007	2	Vorstädte	4597	378	155	66	51	18	26	0	27	6	2	15	56	61	4	32	3293	407
2008	2	Vorstädte	4701	425	166	66	43	24	25	0	27	7	1	17	62	78	9	37	3300	414
2009	2	Vorstädte	4766	453	171	67	45	30	25	0	21	4	1	14	46	103	11	43	3264	468
2010	2	Vorstädte	4740	432	153	61	48	30	19	0	27	4	0	14	52	115	11	36	3258	480
2011	2	Vorstädte	4652	432	169	49	55	28	19	0	27	4	1	13	62	111	11	46	3135	490
2012	2	Vorstädte	4662	420	189	47	47	36	15	0	18	3	1	13	62	126	15	43	3104	523
2013	2	Vorstädte	4814	421	202	45	63	29	9	0	22	5	0	22	69	144	12	47	3129	595
2014	2	Vorstädte	4868	412	211	43	65	32	9	0	25	3	3	21	84	137	14	44	3148	617
2015	2	Vorstädte	4932	454	209	43	81	32	10	0	28	2	2	18	88	146	13	57	3115	634
2016	2	Vorstädte	5022	451	219	48	108	32	10	0	34	1	3	22	115	135	13	56	3102	673
2017	2	Vorstädte	5015	445	220	45	122	36	12	0	34	1	7	16	129	138	13	52	3089	656
2018	2	Vorstädte	5013	443	224	58	128	33	14	0	32	2	7	16	113	129	11	59	3103	641
2019	2	Vorstädte	5019	424	219	57	146	35	12	0	39	2	9	14	123	119	12	53	3086	669
2020	2	Vorstädte	5049	466	220	57	131	32	13	0	34	2	9	19	129	115	16	57	3020	729
2021	2	Vorstädte	4918	439	214	57	143	29	10	0	29	2	6	21	123	101	21	55	2936	732
2022	2	Vorstädte	5038	446	229	66	139	33	11	0	29	2	5	20	134	87	146	57	2853	781
1980	3	Am Ring	11450	447	547	40	210	23	0	124	0	0	0	0	127	67	0	22	9358	485
1981	3	Am Ring	11486	443	529	48	198	21	0	139	0	0	0	0	139	67	0	18	9372	512
1982	3	Am Ring	11467	436	505	94	165	22	0	142	0	0	0	0	136	74	0	23	9384	486
1983	3	Am Ring	11577	450	497	197	180	21	0	150	0	0	0	0	150	70	0	22	9362	478
1984	3	Am Ring	11704	439	486	263	174	26	0	167	0	0	0	0	156	70	0	21	9402	500
1985	3	Am Ring	11623	437	463	198	189	26	0	159	0	0	0	0	159	83	0	21	9419	469
1986	3	Am Ring	11476	472	451	152	186	35	0	124	0	0	0	0	170	88	0	29	9306	463
1987	3	Am Ring	11382	455	437	148	210	37	0	137	0	0	0	0	164	81	0	23	9225	465
1988	3	Am Ring	11207	460	418	131	207	43	0	168	0	0	0	0	148	91	0	24	9076	441
1989	3	Am Ring	11125	486	421	121	188	47	0	185	0	0	0	0	125	103	0	21	8928	500
1990	3	Am Ring	11180	509	432	107	219	48	0	201	0	0	0	0	130	90	0	24	8868	552
1991	3	Am Ring	11256	509	416	144	216	59	0	260	0	0	0	0	120	102	0	26	8821	583
1992	3	Am Ring	11352	493	416	169	217	58	0	305	0	0	5	19	117	93	0	30	8810	620
1993	3	Am Ring	11234	449	406	183	205	59	9	296	0	24	6	33	115	83	0	32	8684	650
1994	3	Am Ring	11186	427	413	188	187	54	29	287	0	23	5	38	120	88	2	32	8678	615
1995	3	Am Ring	11116	422	425	174	179	64	43	232	0	12	7	38	109	81	4	37	8700	589
1996	3	Am Ring	10969	437	440	155	173	58	43	221	0	9	5	38	108	77	5	49	8586	565
1997	3	Am Ring	10635	438	410	139	161	61	35	241	0	8	5	43	106	87	1	48	8310	542
1998	3	Am Ring	10685	429	404	151	152	64	46	235	0	9	4	39	101	130	1	40	8259	621
1999	3	Am Ring	10452	423	383	147	160	83	43	190	0	29	5	48	105	94	4	50	8088	600
2000	3	Am Ring	10374	475	368	136	156	91	46	172	0	24	7	38	97	96	8	44	7987	629
2001	3	Am Ring	10264	480	343	122	153	84	53	154	0	33	6	42	90	98	13	52	7866	675
2002	3	Am Ring	10319	561	361	137	153	87	42	151	0	42	5	46	80	86	15	53	7792	708
2003	3	Am Ring	10353	637	367	141	147	86	45	0	170	52	7	47	79	97	20	45	7645	768
2004	3	Am Ring	10508	664	364	161	140	95	54	0	161	46	6	56	87	93	22	46	7696	817
2005	3	Am Ring	10507	761	357	159	135	85	45	0	158	42	7	51	88	111	19	60	7615	814
2006	3	Am Ring	10418	793	351	144	127	89	48	0	149	34	6	40	100	123	26	69	7490	829
2007	3	Am Ring	10405	867	350	145	125	97	50	0	132	18	5	40	122	140	26	54	7400	834
2008	3	Am Ring	10422	926	361	136	132	102	52	0	140	24	6	30	118	145	24	55	7296	875
2009	3	Am Ring	10424	958	365	129	143	104	44	0	113	22	3	35	123	152	24	71	7203	935
2010	3	Am Ring	10404	912	363	137	154	107	39	0	92	21	5	34	116	139	19	78	7226	962
2011	3	Am Ring	10494	929	363	146	182	108	31	0	94	19	5	30	115	163	21	91	7168	1029
2012	3	Am Ring	10563	917	367	142	196	115	33	0	93	25	5	25	119	178	25	106	7138	1079
2013	3	Am Ring	10751	968	370	127	213	126	29	0	90	26	7	22	129	168	33	100	7165	1178
2014	3	Am Ring	10622	943	381	127	212	115	31	0	104	24	9	24	135	185	27	102	7007	1196
2015	3	Am Ring	10642	935	415	126	220	109	28	0	109	24	13	25	162	186	25	78	7028	1159
2016	3	Am Ring	10734	961	455	128	209	123	31	0	109	25	13	24	175	210	21	88	6990	1172
2017	3	Am Ring	10810	984	460	113	221	133	33	0	99	24	19	28	201	211	16	117	6897	1254
2018	3	Am Ring	11005	978	482	121	253	143	22	0	97	21	19	31	194	205	17	117	6947	1358
2019	3	Am Ring	11152	960	506	119	265	144	21	0	102	25	14	29	202	219	22	119	6987	1418
2020	3	Am Ring	11335	985	475	124	284	145	24	0	97	26	13	30	204	206	23	126	7056	1517
2021	3	Am Ring	11266	967	485	125	289	151	34	0	102	26	17	23	202	200	23	128	6942	1552
2022	3	Am Ring	11421	979	508	134	286	153	27	0	95	24	16	31	214	180	196	130	6887	1561
1980	4	Breite	9915	231	494	51	170	5	0	54	0	0	0	0	40	12	0	3	8700	155
1981	4	Breite	9797	233	516	50	183	4	0	54	0	0	0	0	40	13	0	5	8527	172
1982	4	Breite	9655	234	495	65	189	2	0	69	0	0	0	0	36	11	0	5	8373	176
1983	4	Breite	9610	222	480	75	192	2	0	62	0	0	0	0	32	17	0	2	8359	167
1984	4	Breite	9552	207	457	83	197	2	0	80	0	0	0	0	38	18	0	6	8303	161
1985	4	Breite	9428	210	426	86	219	4	0	69	0	0	0	0	41	27	0	5	8188	153
1986	4	Breite	9331	197	413	105	225	5	0	73	0	0	0	0	42	24	0	5	8068	174
1987	4	Breite	9206	194	425	94	241	8	0	72	0	0	0	0	33	17	0	5	7932	185
1988	4	Breite	9076	191	444	115	246	6	0	86	0	0	0	0	35	17	0	4	7750	182
1989	4	Breite	9023	179	456	120	254	3	0	89	0	0	0	0	33	16	0	6	7650	217
1990	4	Breite	8929	168	435	124	242	3	0	85	0	0	0	0	37	16	0	10	7582	227
1991	4	Breite	8874	176	427	171	255	11	0	128	0	0	0	0	35	15	0	8	7409	239
1992	4	Breite	8944	173	461	178	259	9	0	177	0	0	8	11	29	20	0	8	7349	262
1993	4	Breite	8977	170	481	204	284	10	11	166	0	11	9	27	31	25	1	11	7265	271
1994	4	Breite	9002	173	480	233	282	15	55	151	0	22	5	41	31	26	1	9	7188	290
1995	4	Breite	9011	164	497	235	272	20	61	146	0	38	4	54	36	26	0	10	7153	295
1996	4	Breite	8968	176	480	262	259	31	74	143	0	35	4	67	37	24	0	10	7078	288
1997	4	Breite	8960	179	467	273	233	44	78	150	0	36	4	64	31	25	0	10	7037	329
1998	4	Breite	8754	190	452	303	222	38	75	143	0	26	4	65	30	30	1	11	6858	306
1999	4	Breite	8765	219	425	354	200	31	83	161	0	42	6	69	33	35	2	17	6766	322
2000	4	Breite	8630	214	427	356	183	33	84	164	0	44	5	66	31	42	0	18	6613	350
2001	4	Breite	8585	231	421	376	180	31	86	169	0	42	5	61	35	44	2	15	6483	404
2002	4	Breite	8357	252	391	358	184	43	92	166	0	42	4	67	36	50	2	17	6307	346
2003	4	Breite	8377	271	371	352	191	52	101	0	166	40	4	72	39	56	2	20	6250	390
2004	4	Breite	8382	319	377	348	161	66	102	0	190	37	5	69	39	48	2	30	6189	400
2005	4	Breite	8362	347	361	328	160	78	119	0	188	41	5	71	52	47	3	24	6113	425
2006	4	Breite	8444	382	342	339	143	101	114	0	188	51	4	73	46	44	3	25	6145	444
2007	4	Breite	8451	462	329	313	132	113	114	0	176	49	4	64	52	42	5	31	6088	477
2008	4	Breite	8468	520	324	287	132	113	115	0	172	46	4	60	48	36	9	27	6065	510
2009	4	Breite	8444	540	321	278	116	112	112	0	170	45	4	48	52	40	9	18	6061	518
2010	4	Breite	8492	565	313	287	113	114	121	0	180	45	5	50	58	33	10	16	6041	541
2011	4	Breite	8597	567	324	283	121	131	117	0	190	41	5	50	53	37	10	20	6050	598
2012	4	Breite	8688	583	343	282	144	150	124	0	190	40	5	48	62	40	12	27	6016	622
2013	4	Breite	8806	601	343	282	153	162	132	0	181	38	6	52	65	61	13	23	6039	655
2014	4	Breite	8863	591	360	284	152	164	131	0	193	38	5	47	66	65	16	24	6033	694
2015	4	Breite	8848	583	355	276	169	159	143	0	194	32	5	53	73	72	17	30	5977	710
2016	4	Breite	8936	603	368	264	164	168	135	0	188	36	7	54	72	66	13	33	6041	724
2017	4	Breite	8904	610	376	271	156	166	134	0	184	29	8	51	75	64	11	22	5978	769
2018	4	Breite	8990	641	376	281	144	171	134	0	209	27	8	55	80	59	7	28	5951	819
2019	4	Breite	9014	633	371	285	158	172	128	0	205	27	12	56	80	54	7	37	5915	874
2020	4	Breite	9051	632	359	300	162	169	130	0	205	27	13	58	90	60	14	46	5826	960
2021	4	Breite	8865	656	362	315	158	146	136	0	192	32	11	54	83	58	10	28	5713	911
2022	4	Breite	9040	686	371	305	156	150	141	0	201	33	14	56	81	50	76	38	5723	959
1980	5	St. Alban	11143	258	305	53	169	18	0	60	0	0	0	0	79	46	0	2	9917	236
1981	5	St. Alban	11147	261	289	57	167	26	0	68	0	0	0	0	92	47	0	3	9881	256
1982	5	St. Alban	11043	265	287	59	157	15	0	47	0	0	0	0	97	38	0	3	9810	265
1983	5	St. Alban	11024	254	300	74	165	17	0	41	0	0	0	0	90	37	0	3	9769	274
1984	5	St. Alban	10997	251	287	117	181	13	0	59	0	0	0	0	94	33	0	3	9699	260
1985	5	St. Alban	10912	247	301	104	206	20	0	58	0	0	0	0	88	42	0	4	9610	232
1986	5	St. Alban	10822	248	303	88	188	19	0	70	0	0	0	0	72	40	0	4	9562	228
1987	5	St. Alban	10677	249	272	85	175	19	0	73	0	0	0	0	76	38	0	6	9462	222
1988	5	St. Alban	10582	241	259	99	173	17	0	88	0	0	0	0	80	47	0	8	9358	212
1989	5	St. Alban	10495	239	239	91	183	23	0	96	0	0	0	0	83	45	0	7	9242	247
1990	5	St. Alban	10437	247	244	80	184	22	0	103	0	0	0	0	79	43	0	9	9173	253
1991	5	St. Alban	10307	224	240	84	181	20	0	137	0	0	0	0	79	34	0	1	9057	250
1992	5	St. Alban	10264	233	254	75	178	24	0	113	0	0	2	20	91	39	0	2	8941	292
1993	5	St. Alban	10314	241	274	96	162	20	1	97	0	25	3	33	79	44	0	4	8911	324
1994	5	St. Alban	10258	231	271	112	165	19	4	107	0	17	2	34	73	55	0	6	8849	313
1995	5	St. Alban	10185	234	265	123	167	21	12	126	0	22	2	42	67	46	0	6	8709	343
1996	5	St. Alban	10275	241	277	144	186	19	14	117	0	22	2	34	79	42	1	20	8708	369
1997	5	St. Alban	10184	263	257	167	195	20	11	118	0	24	2	30	82	41	1	34	8566	373
1998	5	St. Alban	10155	289	257	171	185	15	16	102	0	21	0	27	91	46	0	26	8461	448
1999	5	St. Alban	10001	311	254	172	173	13	16	92	0	30	0	30	97	57	0	19	8283	454
2000	5	St. Alban	9957	338	249	170	176	17	15	98	0	28	0	29	97	78	1	21	8166	474
2001	5	St. Alban	9926	336	236	168	170	17	30	91	0	28	0	30	97	98	1	22	8086	516
2002	5	St. Alban	10069	369	251	155	173	25	30	91	0	31	0	26	101	123	1	24	8153	516
2003	5	St. Alban	9912	402	275	160	156	26	33	0	82	26	1	24	86	118	1	27	7916	579
2004	5	St. Alban	10093	435	280	159	161	32	40	0	77	29	2	21	91	129	2	23	7951	661
2005	5	St. Alban	10082	484	265	176	170	42	41	0	83	30	2	30	86	142	4	42	7802	683
2006	5	St. Alban	10138	562	296	178	180	46	49	0	80	26	2	29	124	156	7	47	7638	718
2007	5	St. Alban	10213	621	279	157	162	43	43	0	80	30	4	25	151	163	8	37	7639	771
2008	5	St. Alban	10445	685	279	162	170	48	47	0	80	28	5	20	149	195	13	37	7676	851
2009	5	St. Alban	10483	700	280	153	156	52	48	0	91	23	4	21	132	208	8	38	7623	946
2010	5	St. Alban	10578	683	291	161	158	64	50	0	92	18	9	21	137	204	12	54	7624	1000
2011	5	St. Alban	10638	712	288	166	176	69	55	0	102	21	11	21	143	212	13	48	7598	1003
2012	5	St. Alban	10677	724	295	175	183	61	60	0	109	22	12	22	155	223	15	55	7535	1031
2013	5	St. Alban	10798	742	305	184	195	73	52	0	109	25	14	21	159	244	16	76	7519	1064
2014	5	St. Alban	10890	750	325	187	222	76	49	0	97	25	12	24	189	231	16	99	7530	1058
2015	5	St. Alban	10909	769	318	194	217	87	57	0	81	26	10	18	212	224	17	85	7523	1071
2016	5	St. Alban	10896	780	351	200	201	97	60	0	89	25	8	17	237	227	11	90	7449	1054
2017	5	St. Alban	11158	801	355	214	214	109	66	0	84	28	9	24	222	207	18	98	7464	1245
2018	5	St. Alban	11534	839	360	212	235	105	64	0	80	26	10	23	245	234	15	100	7555	1431
2019	5	St. Alban	11643	819	386	230	240	104	59	0	83	26	11	21	265	244	15	94	7573	1473
2020	5	St. Alban	11732	850	386	233	249	109	64	0	85	25	13	26	299	252	20	71	7577	1473
2021	5	St. Alban	11959	832	382	241	255	122	69	0	83	23	11	27	286	262	20	109	7647	1590
2022	5	St. Alban	12341	880	408	242	267	135	70	0	88	23	13	40	301	240	122	146	7673	1693
1980	6	Gundeldingen	19983	472	2172	385	639	17	0	371	0	0	0	0	153	48	0	2	15028	696
1981	6	Gundeldingen	19753	438	2068	436	669	30	0	404	0	0	0	0	154	57	0	2	14721	774
1982	6	Gundeldingen	19640	420	1983	572	656	34	0	453	0	0	0	0	150	57	0	3	14539	773
1983	6	Gundeldingen	19769	424	1976	777	693	37	0	512	0	0	0	0	144	57	0	5	14375	769
1984	6	Gundeldingen	19871	425	1938	930	684	35	0	571	0	0	0	0	134	59	0	11	14312	772
1985	6	Gundeldingen	19931	421	1960	1201	676	54	0	638	0	0	0	0	130	54	0	11	14061	725
1986	6	Gundeldingen	19713	409	1939	1102	708	65	0	692	0	0	0	0	123	65	0	7	13903	700
1987	6	Gundeldingen	19385	387	1891	1160	685	77	0	744	0	0	0	0	118	76	0	6	13560	681
1988	6	Gundeldingen	19108	399	1813	1174	655	75	0	768	0	0	0	0	109	77	0	6	13379	653
1989	6	Gundeldingen	18971	393	1820	1050	655	79	0	906	0	0	0	0	117	75	0	3	13186	687
1990	6	Gundeldingen	19538	418	1809	1250	668	81	0	1105	0	0	0	0	133	84	0	22	13047	921
1991	6	Gundeldingen	19861	427	1829	1289	644	86	0	1324	0	0	0	0	128	94	0	18	13010	1012
1992	6	Gundeldingen	19919	455	1786	1358	606	107	0	1384	0	0	18	92	117	88	0	16	12941	951
1993	6	Gundeldingen	19938	461	1702	1420	618	121	18	1289	0	92	20	239	110	88	0	28	12794	938
1994	6	Gundeldingen	20062	474	1687	1470	593	132	159	1253	0	142	24	270	122	89	0	28	12636	983
1995	6	Gundeldingen	19792	493	1635	1469	591	138	207	1280	0	162	23	269	122	81	0	20	12352	950
1996	6	Gundeldingen	19319	490	1621	1425	565	144	224	1115	0	128	23	255	128	83	0	17	12149	952
1997	6	Gundeldingen	18996	493	1585	1390	505	152	233	1120	0	117	23	261	121	99	2	22	11926	947
1998	6	Gundeldingen	18810	501	1519	1423	475	148	225	1168	0	102	13	261	123	101	9	43	11763	936
1999	6	Gundeldingen	18602	505	1482	1468	462	147	218	1086	0	236	9	265	120	104	3	43	11512	942
2000	6	Gundeldingen	18209	525	1426	1456	445	151	218	947	0	249	12	261	117	90	2	30	11330	950
2001	6	Gundeldingen	18110	577	1353	1486	411	156	224	965	0	256	10	238	117	96	7	33	11196	985
2002	6	Gundeldingen	18152	642	1287	1507	386	175	219	993	0	241	12	233	122	111	7	37	11076	1104
2003	6	Gundeldingen	18255	734	1246	1484	371	174	233	0	983	223	12	224	112	114	10	53	11093	1189
2004	6	Gundeldingen	18280	879	1208	1476	347	181	240	0	1007	235	12	228	110	116	11	83	11021	1126
2005	6	Gundeldingen	18253	1003	1136	1452	318	191	224	0	959	219	10	208	125	127	13	83	11057	1128
2006	6	Gundeldingen	18320	1142	1105	1382	301	186	251	0	956	202	9	195	131	129	13	104	11032	1182
2007	6	Gundeldingen	18377	1273	1042	1345	291	168	244	0	869	175	9	173	152	157	15	82	11159	1223
2008	6	Gundeldingen	18589	1386	1032	1268	287	166	250	0	813	148	12	142	148	182	14	71	11375	1295
2009	6	Gundeldingen	18600	1471	982	1223	279	161	250	0	763	139	15	144	168	187	18	72	11322	1406
2010	6	Gundeldingen	18411	1408	959	1185	271	137	269	0	726	131	15	131	149	196	19	61	11316	1438
2011	6	Gundeldingen	18519	1505	934	1147	262	153	277	0	738	127	19	128	160	191	14	77	11304	1483
2012	6	Gundeldingen	18649	1502	930	1118	282	165	276	0	747	123	18	121	174	178	13	93	11377	1532
2013	6	Gundeldingen	18833	1516	936	1102	291	210	274	0	726	135	12	121	169	184	16	130	11435	1576
2014	6	Gundeldingen	18941	1537	956	1081	311	187	273	0	707	126	13	120	177	172	16	119	11518	1628
2015	6	Gundeldingen	18860	1519	945	1053	320	180	270	0	691	120	16	116	195	173	14	121	11396	1731
2016	6	Gundeldingen	18881	1508	941	1041	349	173	271	0	667	113	10	114	169	170	17	118	11506	1714
2017	6	Gundeldingen	18819	1523	941	1006	366	182	243	0	653	103	9	118	194	183	19	115	11423	1741
2018	6	Gundeldingen	18779	1520	941	960	369	171	235	0	648	100	10	123	205	180	23	116	11351	1827
2019	6	Gundeldingen	18762	1535	961	950	381	171	236	0	620	88	8	125	224	172	22	135	11312	1822
2020	6	Gundeldingen	18895	1540	1002	907	385	174	244	0	605	85	13	120	242	159	23	116	11332	1948
2021	6	Gundeldingen	18944	1485	1009	837	402	175	222	0	586	77	16	113	242	148	19	126	11437	2050
2022	6	Gundeldingen	18982	1488	1001	817	425	184	217	0	558	77	21	114	224	126	185	147	11241	2157
1980	7	Bruderholz	9907	218	93	14	51	5	0	18	0	0	0	0	48	26	0	1	9259	174
1981	7	Bruderholz	9874	224	85	9	49	5	0	18	0	0	0	0	39	27	0	1	9237	180
1982	7	Bruderholz	9774	223	94	17	47	5	0	19	0	0	0	0	40	30	0	1	9133	165
1983	7	Bruderholz	9710	222	91	26	45	3	0	31	0	0	0	0	45	24	0	0	9038	185
1984	7	Bruderholz	9591	227	103	50	46	5	0	32	0	0	0	0	46	21	0	1	8864	196
1985	7	Bruderholz	9437	203	101	20	64	4	0	25	0	0	0	0	46	31	0	2	8768	173
1986	7	Bruderholz	9327	182	96	18	61	5	0	32	0	0	0	0	49	29	0	1	8697	157
1987	7	Bruderholz	9300	176	101	81	67	7	0	31	0	0	0	0	44	30	0	3	8613	147
1988	7	Bruderholz	9123	180	121	56	64	6	0	27	0	0	0	0	42	22	0	0	8447	158
1989	7	Bruderholz	9091	176	127	62	66	8	0	28	0	0	0	0	38	28	0	4	8383	171
1990	7	Bruderholz	9116	180	131	66	67	9	0	30	0	0	0	0	41	33	0	5	8373	181
1991	7	Bruderholz	9125	177	135	78	62	11	0	27	0	0	0	0	44	46	0	6	8341	198
1992	7	Bruderholz	9214	195	144	88	62	12	0	28	0	0	1	1	51	57	0	7	8333	235
1993	7	Bruderholz	9219	206	147	83	57	15	0	29	0	4	1	3	45	67	0	6	8319	237
1994	7	Bruderholz	9158	205	141	83	55	24	9	23	0	8	1	5	41	65	0	4	8282	212
