Gemeinde	GemeindeDescr	PerNum	Per
DE_08336036	Hausen im Wiesental	3	Agglomeration D
DE_08336043	Inzlingen	3	Agglomeration D
DE_08336045	Kandern	3	Agglomeration D
DE_08336050	Lörrach	3	Agglomeration D
DE_08336057	Maulburg	3	Agglomeration D
DE_08336069	Rheinfelden (Baden)	3	Agglomeration D
DE_08336073	Rümmingen	3	Agglomeration D
DE_08336075	Schallbach	3	Agglomeration D
DE_08336081	Schopfheim	3	Agglomeration D
DE_08336082	Schwörstadt	3	Agglomeration D
DE_08336084	Steinen	3	Agglomeration D
DE_08336091	Weil am Rhein	3	Agglomeration D
DE_08336100	Wittlingen	3	Agglomeration D
DE_08336103	Zell im Wiesental	3	Agglomeration D
DE_08336104	Malsburg-Marzell	3	Agglomeration D
DE_08336105	Grenzach-Wyhlen	3	Agglomeration D
DE_08336106	Häg-Ehrsberg	3	Agglomeration D
DE_08336107	Kleines Wiesental	3	Agglomeration D
FR_68013	Attenschwiller	4	Agglomeration F
FR_68021	Bartenheim	4	Agglomeration F
FR_68025	Bendorf	4	Agglomeration F
FR_68027	Berentzwiller	4	Agglomeration F
FR_68034	Bettlach	4	Agglomeration F
FR_68035	Biederthal	4	Agglomeration F
FR_68042	Blotzheim	4	Agglomeration F
FR_68049	Bouxwiller	4	Agglomeration F
FR_68054	Brinckheim	4	Agglomeration F
FR_68061	Buschwiller	4	Agglomeration F
FR_68072	Dietwiller	4	Agglomeration F
FR_68075	Durmenach	4	Agglomeration F
FR_68087	Feldbach	4	Agglomeration F
FR_68090	Ferrette	4	Agglomeration F
FR_68092	Fislis	4	Agglomeration F
FR_68094	Folgensbourg	4	Agglomeration F
FR_68096	Franken	4	Agglomeration F
FR_68103	Geispitzen	4	Agglomeration F
FR_68120	Hagenthal-le-Bas	4	Agglomeration F
FR_68121	Hagenthal-le-Haut	4	Agglomeration F
FR_68124	Hausgauen	4	Agglomeration F
FR_68126	Hégenheim	4	Agglomeration F
FR_68132	Helfrantzkirch	4	Agglomeration F
FR_68135	Hésingue	4	Agglomeration F
FR_68148	Hundsbach	4	Agglomeration F
FR_68149	Huningue	4	Agglomeration F
FR_68158	Jettingen	4	Agglomeration F
FR_68160	Kappelen	4	Agglomeration F
FR_68163	Kembs	4	Agglomeration F
FR_68168	Knoeringue	4	Agglomeration F
FR_68170	Koetzingue	4	Agglomeration F
FR_68182	Leymen	4	Agglomeration F
FR_68183	Liebenswiller	4	Agglomeration F
FR_68186	Ligsdorf	4	Agglomeration F
FR_68187	Linsdorf	4	Agglomeration F
FR_68194	Lutter	4	Agglomeration F
FR_68197	Magstatt-le-Bas	4	Agglomeration F
FR_68198	Magstatt-le-Haut	4	Agglomeration F
FR_68207	Michelbach-le-Bas	4	Agglomeration F
FR_68208	Michelbach-le-Haut	4	Agglomeration F
FR_68221	Muespach	4	Agglomeration F
FR_68222	Muespach-le-Haut	4	Agglomeration F
FR_68232	Neuwiller	4	Agglomeration F
FR_68238	Niffer	4	Agglomeration F
FR_68240	Illtal	4	Agglomeration F
FR_68245	Obermorschwiller	4	Agglomeration F
FR_68248	Oltingue	4	Agglomeration F
FR_68254	Petit-Landau	4	Agglomeration F
FR_68259	Raedersdorf	4	Agglomeration F
FR_68263	Ranspach-le-Bas	4	Agglomeration F
FR_68264	Ranspach-le-Haut	4	Agglomeration F
FR_68265	Rantzwiller	4	Agglomeration F
FR_68273	Riespach	4	Agglomeration F
FR_68284	Roppentzwiller	4	Agglomeration F
FR_68286	Rosenau	4	Agglomeration F
FR_68288	Ruederbach	4	Agglomeration F
FR_68297	Saint-Louis	4	Agglomeration F
FR_68309	Sierentz	4	Agglomeration F
FR_68312	Sondersdorf	4	Agglomeration F
FR_68325	Steinsoultz	4	Agglomeration F
FR_68327	Stetten	4	Agglomeration F
FR_68341	Uffheim	4	Agglomeration F
FR_68347	Vieux-Ferrette	4	Agglomeration F
FR_68349	Village-Neuf	4	Agglomeration F
FR_68353	Wahlbach	4	Agglomeration F
FR_68355	Waldighofen	4	Agglomeration F
FR_68357	Waltenheim	4	Agglomeration F
FR_68362	Wentzwiller	4	Agglomeration F
FR_68363	Werentzhouse	4	Agglomeration F
FR_68371	Willer	4	Agglomeration F
FR_68380	Wolschwiller	4	Agglomeration F
FR_68382	Zaessingue	4	Agglomeration F
