wohnbezirk_name	wohnbezirk_id	wohnviertel_name	wohnviertel_name_kurz	wohnviertel_id	gemeinde_name	gemeinde_id_bfs	kanton_name	kanton_name_kurz	kanton_id_bfs	sort_order
Messe	161	Rosental	Rosental	16	Basel	2701	Basel-Stadt	BS	12	55
Erlenmatt	162	Rosental	Rosental	16	Basel	2701	Basel-Stadt	BS	12	56
Flora	171	Matthäus	Matthäus	17	Basel	2701	Basel-Stadt	BS	12	57
Dreirosen	172	Matthäus	Matthäus	17	Basel	2701	Basel-Stadt	BS	12	58
Haltingerstrasse	173	Matthäus	Matthäus	17	Basel	2701	Basel-Stadt	BS	12	59
Bläsi	174	Matthäus	Matthäus	17	Basel	2701	Basel-Stadt	BS	12	60
Klybeck	180	Klybeck	Klybeck	18	Basel	2701	Basel-Stadt	BS	12	63
Kleinhüningen	190	Kleinhüningen	Kleinhüningen	19	Basel	2701	Basel-Stadt	BS	12	64
Riehen-Dorf	201	Riehen	Riehen	20	Riehen	2703	Basel-Stadt	BS	12	66
Stettenfeld	202	Riehen	Riehen	20	Riehen	2703	Basel-Stadt	BS	12	67
Bischoffhöhe	203	Riehen	Riehen	20	Riehen	2703	Basel-Stadt	BS	12	68
Moos	204	Riehen	Riehen	20	Riehen	2703	Basel-Stadt	BS	12	69
Wenken	205	Riehen	Riehen	20	Riehen	2703	Basel-Stadt	BS	12	70
Kornfeld	206	Riehen	Riehen	20	Riehen	2703	Basel-Stadt	BS	12	71
Niederholz	207	Riehen	Riehen	20	Riehen	2703	Basel-Stadt	BS	12	72
Pfaffenloh	208	Riehen	Riehen	20	Riehen	2703	Basel-Stadt	BS	12	73
Bettingen-Dorf	301	Bettingen	Bettingen	30	Bettingen	2702	Basel-Stadt	BS	12	74
Chrischona	302	Bettingen	Bettingen	30	Bettingen	2702	Basel-Stadt	BS	12	75
